,Environment,Trial,Hardware,Model,50_samples,100_samples,500_samples,1000_samples,2000_samples,5000_samples
0,datahub1,1,cpu,CNN,3.0022855649585836,6.584249189007096,6.470418524986599,9.318261566979345,,14.207533341948874
1,datahub1,1,cpu,DNN,5.385303889983334,4.988413676037453,10.940336151979864,13.659167839039583,,72.59668333100853
2,datahub1,1,cpu,LSTM,60.165907881979365,91.9948421830195,219.34383639501175,347.4516330069746,528.6369186760276,
3,datahub1,1,cpu,transformer,42.72831858799327,53.8845977029996,129.26617205003276,226.27289840998128,,
4,datahub1,1,gpu,CNN,0.002213948988355696,0.002042289008386433,0.0035906920093111694,0.003689524019137025,,0.004648194997571409
5,datahub1,1,gpu,DNN,0.0008704090141691267,0.0007523170206695795,0.0009703219984658062,0.0008867789874784648,,0.000924378982745111
6,datahub1,1,gpu,transformer,0.0046884589828550816,0.004917184996884316,0.179394057020545,failed,,
7,datahub10,1,cpu,CNN,0.009027533931657672,0.009553734213113785,0.026913411915302277,0.03910170681774616,,0.3378709980752319
8,datahub10,1,cpu,DNN,0.01666157692670822,0.00973020400851965,0.029965423047542572,0.06302360584959388,,0.38891381910070777
9,datahub10,1,cpu,LSTM,0.12168514006771147,0.30259131407365203,1.2115062060765922,1.9370811129920185,2.975242519052699,
10,datahub10,1,cpu,transformer,0.3570097661577165,0.8017713390290737,4.135478546144441,7.403061326127499,,
11,datahub10,1,gpu,CNN,0.003924221033230424,0.0027210810221731663,0.0043189008720219135,0.004708251915872097,,0.005595203023403883
12,datahub10,1,gpu,DNN,0.0009637901093810797,0.0008495599031448364,0.0008343500085175037,0.0006248599383980036,,0.0006039601285010576
13,datahub10,1,gpu,transformer,0.002442450961098075,0.0020806710235774517,0.010480194119736552,0.012980255065485835,,
14,datahub2,1,cpu,CNN,1.101482213998679,1.0896741829928942,2.041979206027463,2.4026037129806355,,6.005461513006594
15,datahub2,1,cpu,DNN,0.6731155429733917,0.7853194210329093,1.644653149007354,3.499069588026032,,16.728352576028556
16,datahub2,1,cpu,LSTM,29.178707658022176,58.18617165397154,108.24829925596714,151.1306497619953,200.55610847199569,
17,datahub2,1,cpu,transformer,9.828656825993676,14.073809098044876,50.55686836899258,91.8563637380139,,
18,datahub2,1,gpu,CNN,0.002485028002411127,0.0024551039678044617,0.0038563130074180663,0.0038969750166870654,,0.0049780000117607415
19,datahub2,1,gpu,DNN,0.0008040399989113212,0.0015976139693520963,0.0007978499634191394,0.0017974780057556927,,0.0009327800362370908
20,datahub2,1,gpu,transformer,0.006546346994582564,0.003824605024419725,0.19147645600605756,failed,,
21,datahub3,1,cpu,CNN,0.23195514199323952,0.5869853319600224,0.340878444025293,0.9068741530063562,,2.2859944670344703
22,datahub3,1,cpu,DNN,0.06639383896254003,0.274160152010154,0.6479475139640272,1.7705752229667269,,7.855720493011177
23,datahub3,1,cpu,LSTM,3.177053333958611,5.589096994022839,23.04007674800232,32.770952058024704,34.198177685029805,
24,datahub3,1,cpu,transformer,3.7950424819719046,7.682289776043035,20.46674281801097,41.26773659297032,,
25,datahub3,1,gpu,CNN,0.002320650964975357,0.002905538014601916,0.0034243789850734174,0.0037878149887546897,,0.0047975179622881114
26,datahub3,1,gpu,DNN,0.0007683149888180196,0.0005730660050176084,0.0008799550123512745,0.0007397460285574198,,0.0007475749589502811
27,datahub3,1,gpu,transformer,0.004962477018125355,0.003481946012470871,0.19519527204101905,failed,,
28,datahub4,1,cpu,CNN,0.014973325014580041,0.012517516035586596,0.07714504899922758,0.1549515089718625,,0.779003833013121
29,datahub4,1,cpu,DNN,0.013844609959051013,0.05746212904341519,0.16632416401989758,0.4194203459774144,,2.6009241220308468
30,datahub4,1,cpu,LSTM,0.4961548380088061,0.9880465610185638,4.260098761995323,7.247427965048701,15.61807243200019,
31,datahub4,1,cpu,transformer,1.329897357034497,2.3007914750487544,8.876557208015583,16.448642260977067,,
32,datahub4,1,gpu,CNN,0.0035189640475437045,0.003109912038780749,0.003944107971619815,0.003927556972485036,,0.004863930982537568
33,datahub4,1,gpu,DNN,0.000998891016934067,0.0008238479495048523,0.0009180970373563468,0.0010250590275973082,,0.0008434039773419499
34,datahub4,1,gpu,transformer,0.004043104010634124,0.003449569980148226,0.19342196005163714,failed,,
35,datahub5,1,cpu,CNN,0.015552925004158169,0.03838663798524067,0.05746724602067843,0.10193853004602715,,0.5449309459654614
36,datahub5,1,cpu,DNN,0.0260428250185214,0.04651027702493593,0.163361351005733,0.22760591196129099,,1.409262610017322
37,datahub5,1,cpu,LSTM,0.5779756429838017,0.6925640569534153,3.653100938012358,6.110195894958451,9.538029596966226,
38,datahub5,1,cpu,transformer,0.7573936100234278,1.390185536001809,5.333735027001239,10.201163379999343,,
39,datahub5,1,gpu,CNN,0.0024555459967814386,0.0021538729779422283,0.004092471965122968,0.003693794016726315,,0.0048897009692154825
40,datahub5,1,gpu,DNN,0.0007283000159077346,0.0005603559548035264,0.0007098120404407382,0.0007467169780284166,,0.0008080849656835198
41,datahub5,1,gpu,transformer,0.00427580502582714,0.0036729960120283067,0.20950637699570507,failed,,
42,datahub6,1,cpu,CNN,4.197719334857538,4.225121702067554,4.562838327838108,4.579212317010388,,6.123511160956696
43,datahub6,1,cpu,DNN,3.0223217469174415,3.710890587186441,5.404443551087752,5.830035131191835,,9.456228585913777
44,datahub6,1,cpu,LSTM,475.9904877441004,407.69704175018705,607.5617101911921,624.9619883229025,639.6233105168212,
45,datahub6,1,cpu,transformer,22.578875940991566,25.897278316086158,53.69043982005678,83.30623173201457,,
46,datahub6,1,gpu,CNN,0.00324435206130147,0.00261827209033072,0.0043115331791341305,0.0043730519246309996,,0.00530736381188035
47,datahub6,1,gpu,DNN,0.0004363900516182184,0.00038608000613749027,0.00048426096327602863,0.0006155110895633698,,0.000581630039960146
48,datahub6,1,gpu,transformer,0.002373351017013192,0.002074610907584429,0.01132734795100987,0.013585907872766256,,
49,datahub7,1,cpu,CNN,2.00856795697473,2.047033133916557,2.0711742450948805,2.1044519289862365,,3.0792338219471276
50,datahub7,1,cpu,DNN,1.430384007981047,1.8581083831377327,2.597130554029718,2.67057225597091,,4.709875958971679
51,datahub7,1,cpu,LSTM,192.22645217902027,197.40423321700655,285.56261415896006,261.15277406480163,267.64959708205424,
52,datahub7,1,cpu,transformer,8.43873277795501,10.817750222049654,26.39420881913975,41.842520356876776,,
53,datahub7,1,gpu,CNN,0.004091151989996433,0.002786981174722314,0.004851082107052207,0.00507740187458694,,0.005949402926489711
54,datahub7,1,gpu,DNN,0.0004509100690484047,0.0003784399013966322,0.0005381198134273291,0.000648360000923276,,0.000633810181170702
