-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.64%       8.049ms       100.00%        1.254s        1.254s       0.000us         0.00%     932.000us     932.000us           0 b    -609.38 Kb       8.42 Mb      -4.06 Mb             1  
                                           aten::conv1d         0.00%      52.000us        98.98%        1.241s      62.050ms       0.000us         0.00%     628.000us      31.400us           0 b           0 b       1.19 Mb           0 b            20  
                                      aten::convolution         0.01%     144.000us        98.98%        1.241s      62.048ms       0.000us         0.00%     628.000us      31.400us           0 b           0 b       1.19 Mb    -244.00 Kb            20  
                                     aten::_convolution         0.02%     296.000us        98.97%        1.241s      62.041ms       0.000us         0.00%     628.000us      31.400us           0 b           0 b       1.43 Mb    -366.00 Kb            20  
                                aten::cudnn_convolution         3.29%      41.290ms        98.88%        1.240s      61.986ms     556.000us        59.66%     556.000us      27.800us           0 b           0 b       1.19 Mb       1.19 Mb            20  
                                               cudaFree        50.99%     639.360ms        50.99%     639.360ms     159.840ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaFuncGetAttributes        35.55%     445.778ms        35.55%     445.778ms       3.715ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           120  
                              cudaStreamCreateWithFlags         8.91%     111.738ms         8.91%     111.738ms       6.984ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                               aten::to         0.07%     910.000us         0.10%       1.268ms      63.400us       0.000us         0.00%      40.000us       2.000us           0 b           0 b     610.00 Kb     122.00 Kb            20  
                                       aten::batch_norm        -0.00%     -11.000us         0.09%       1.089ms      54.450us       0.000us         0.00%      57.000us       2.850us           0 b           0 b       1.19 Mb     -61.00 Kb            20  
